model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p
Last week,contiguous,1,2,112000,28,0,0.03278292330230128,0.018542463410052064,1.7679918022396806,0.038531137072377784,computed,0.008146079770831326,0.020084863456943235,0.015631122089776628,0.03646790901532775,0.01894495867956441,False,0.14107059659286728
Last week,contiguous,2,2,112000,28,0,0.026879263144787918,0.013924618855057634,1.9303410329989004,0.026782298007878236,computed,0.008146079770831326,0.020084863456943235,0.015631122089776628,0.03646790901532775,0.01894495867956441,False,0.0980556257917407
Four week mean,contiguous,1,2,112000,28,0,0.06381338574404948,0.01206249368207422,5.2902316408157795,6.10807714135647e-08,computed,0.051989891028984124,0.05777255060579459,0.05512819054907047,0.06633438624524254,0.05675392772674381,True,5.963454679940754e-07
Four week mean,contiguous,2,2,112000,28,0,0.060971654745896345,0.010098253610327448,6.037841501974247,7.809468213229207e-10,computed,0.051989891028984124,0.05777255060579459,0.05512819054907047,0.06633438624524254,0.05675392772674381,True,7.62456149230751e-09
Past price and calendar,contiguous,1,2,112000,28,0,0.010256953421495064,0.001412963549923777,7.259177649733696,1.9472535744706814e-13,computed,0.009913593341570515,0.009298401528344097,0.010155868836572556,0.010180585951473286,0.010132396822894,True,5.703443902050832e-12
Past price and calendar,contiguous,2,2,112000,28,0,0.010072913102328556,0.0013123186073075097,7.675661265670232,8.228373655658398e-15,computed,0.009913593341570515,0.009298401528344097,0.010155868836572556,0.010180585951473286,0.010132396822894,True,2.4100645219212154e-13
Past price calendar and history,contiguous,1,2,112000,28,0,0.05650775635380407,0.014051017715621738,4.021613060168551,2.8900476383469857e-05,computed,0.03959190283895576,0.048051444071623456,0.044450662830439434,0.059687961780139076,0.04659207201131091,True,0.00021162144462935615
Past price calendar and history,contiguous,2,2,112000,28,0,0.05249027482971189,0.01114288300616843,4.710654756103474,1.2346110906508277e-06,computed,0.03959190283895576,0.048051444071623456,0.044450662830439434,0.059687961780139076,0.04659207201131091,True,9.040341726283492e-06
Training series mean,contiguous,1,2,112000,28,0,1.0758967053258337e-13,6.03012773634013e-13,,1.0,undefined_rank_or_scale,2.7202564091084775e-15,-2.572312389691881e-15,3.578672865786212e-13,-1.2228145277780515e-12,1.0001076631809263e-12,False,1.0
Training series mean,contiguous,2,2,112000,28,0,4.829556493596501e-14,4.132855377615154e-13,,1.0,undefined_rank_or_scale,2.7202564091084775e-15,-2.572312389691881e-15,3.578672865786212e-13,-1.2228145277780515e-12,1.0001076631809263e-12,False,1.0
Eight week mean,contiguous,1,2,112000,28,0,0.03790512658375057,0.01039657857059705,3.6459231588891625,0.00013321679403091824,computed,0.030151016488012262,0.033961471563132076,0.03207712948946131,0.03954762617093117,0.033338724484898344,True,0.0006503129343533118
Eight week mean,contiguous,2,2,112000,28,0,0.03602868508129146,0.009380841153681716,3.8406667900086138,6.13502857158037e-05,computed,0.030151016488012262,0.033961471563132076,0.03207712948946131,0.03954762617093117,0.033338724484898344,True,0.0002994883987224518
Exponential smoothing,contiguous,1,2,112000,28,0,0.04465136396114709,0.011600592470659808,3.8490589229885646,5.928624264356402e-05,computed,0.031969398572767836,0.03811658996278079,0.03568087865208473,0.0465276528162174,0.03760381778153807,True,0.0003472950452001159
Exponential smoothing,contiguous,2,2,112000,28,0,0.04159579387865142,0.009696774994235977,4.289652374462342,8.947650048121137e-06,computed,0.031969398572767836,0.03811658996278079,0.03568087865208473,0.0465276528162174,0.03760381778153807,True,5.2414765877128654e-05
Croston SBA,contiguous,1,2,112000,28,0,-0.016085600173895286,0.002113440460198649,-7.611096918426246,0.9999999999999865,computed,-0.017206435888436948,-0.015136802937421276,-0.017132459062474497,-0.01588078503552231,-0.016678675555054912,False,1.0
Croston SBA,contiguous,2,2,112000,28,0,-0.01616496670213018,0.0018816191427957847,-8.590987588546547,1.0,computed,-0.017206435888436948,-0.015136802937421276,-0.017132459062474497,-0.01588078503552231,-0.016678675555054912,False,1.0
Theta,contiguous,1,2,112000,28,0,0.06294281664994199,0.011495802408015603,5.475286927866319,2.1840163090795935e-08,computed,0.05126157031664852,0.05714038521054062,0.05426608375948228,0.06548090067417249,0.05596531310154083,True,3.1984572177215236e-07
Theta,contiguous,2,2,112000,28,0,0.06015029139280821,0.009454531049658753,6.362059744357098,9.95329883658315e-11,computed,0.05126157031664852,0.05714038521054062,0.05426608375948228,0.06548090067417249,0.05596531310154083,True,1.4576448157305601e-09
Ridge with history,contiguous,1,2,112000,28,0,0.04865052723993624,0.015564611096364983,3.1257142847146544,0.0008868689541006215,computed,0.028259043938376287,0.03834120542539523,0.03439480361555146,0.05168611793974172,0.03722763712953956,True,0.003710872874272498
Ridge with history,contiguous,2,2,112000,28,0,0.04378539869070607,0.011994271404364024,3.6505259231315286,0.00013085194660583882,computed,0.028259043938376287,0.03834120542539523,0.03439480361555146,0.05168611793974172,0.03722763712953956,True,0.0005475159965406442
