model,n,mae,rmse,prediction_sha256
Last week,112000,3.866517857142857,9.616162919050108,fc5bacce5207639fafa5cc58e195b7206bd0fca9acdf8b222453650c227b0e9e
Four week mean,112000,3.5480558035714287,9.893317634492702,dd074cc1118b351e030cc0a601e9aa94e82cc424f812f2be80af9d25e41af39b
Past price and calendar,112000,9.129962619688827,22.70550826270295,52cbe13303ebade5abc5fb87ead62cbc1f0c417b3c168f7c09a9d8866d5a00ff
Past price calendar and history,112000,3.4622748401346195,8.775782898716056,3c04b1bb12737cda9090c32cc8871f49a8b6cf4084cd6d7437f248cece6b641d
Training series mean,112000,5.634002376152074,14.13109974479113,2c75de0ed7437c08dd66118eb9948d838e6524b786dc98ebbcb97a28863b9d69
Eight week mean,112000,3.7395558035714287,10.475129945601255,abe596a376ba6f16fc3aba0db4f2202fb263cf286cbea199d568aef94b3dc441
Exponential smoothing,112000,3.492279399675674,9.379991916652822,f36fbbad48c530533807f48db85560b6ee6ceecc8b472b24e3266780b902ad46
Croston SBA,112000,4.355190206169553,11.509298114988319,63a139149482249db18b4b935013f3a18cf0cf6835b3d6c9f12cc0376e8cf14e
Theta,112000,3.4051180294005783,8.976343543899706,f8af135721aab494f768442f95fbb702ccf1cd5fee79a0fd4f59d9d5b253972e
Ridge with history,112000,3.561230620911984,8.953317839851724,506db75a9ba0319903bb9e6a7c24c32db8a328954889440089624f8d9313f270
