baseline,method,comparator,gain,ci_low,ci_high,weekly_se,weekly_blocks,fortnight_low,fortnight_high,bootstrap_low,bootstrap_high
seasonal_24h,baseline,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,raw_baseline,baseline,-89527.01498928053,-245248.03851749282,66194.00853893177,70750.60129998496,12,-242313.55200530431,63259.52202674323,-223128.03744585483,1878.0351164841836
seasonal_24h,direct__persistence_1h,baseline,235605.34264960838,18952.40554590852,452258.2797533083,98434.52878870607,12,5522.519298250147,465688.1660009666,64774.90453568143,428598.97263952415
seasonal_24h,convex__persistence_1h,baseline,236828.51046056836,54208.87389156615,419448.14702957054,82971.77095102258,12,38305.74061066503,435351.28031047166,95231.89631631404,398569.6761437629
seasonal_24h,augment__persistence_1h,baseline,238951.68537668974,58363.33203568304,419540.03871769644,82048.87366628171,12,42599.2400149928,435304.13073838654,99035.50092876225,399175.4208370892
seasonal_24h,gated__persistence_1h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__seasonal_24h,baseline,-89527.01498928053,-245248.03851749282,66194.00853893177,70750.60129998496,12,-242313.55200530431,63259.52202674323,-223128.03744585483,1878.0351164841836
seasonal_24h,convex__seasonal_24h,baseline,20982.56310399601,-6062.466847159638,48027.59305515166,12287.693002953458,12,-9336.05768698893,51301.18389498096,530.2134738280156,45638.04536989171
seasonal_24h,augment__seasonal_24h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,gated__seasonal_24h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__seasonal_168h,baseline,-124379.42272737576,-239935.8974653153,-8822.947989436201,52502.15986625942,12,-206164.73846041085,-42594.10699434075,-249938.2523147585,5896.331284459069
seasonal_24h,convex__seasonal_168h,baseline,39139.04541899432,-605.8825007135238,78883.97333870217,18057.79004807555,12,16798.113363723223,61479.97747426541,6562.960588546162,77670.88664771037
