baseline,method,week,start,mse,mae
seasonal_24h,baseline,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,baseline,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,baseline,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,baseline,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,baseline,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,baseline,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,baseline,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,baseline,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,baseline,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,baseline,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,baseline,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,baseline,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,raw_baseline,0,2018-09-08 00:00:00,96720.72619047618,173.54761904761904
seasonal_24h,raw_baseline,1,2018-09-15 00:00:00,669887.8869047619,540.8154761904761
seasonal_24h,raw_baseline,2,2018-09-22 00:00:00,437871.10714285716,421.6309523809524
seasonal_24h,raw_baseline,3,2018-09-29 00:00:00,1738834.119047619,1094.8333333333333
seasonal_24h,raw_baseline,4,2018-10-06 00:00:00,756066.0535714285,606.2678571428571
seasonal_24h,raw_baseline,5,2018-10-13 00:00:00,73967.51190476191,143.97619047619048
seasonal_24h,raw_baseline,6,2018-10-20 00:00:00,174038.54761904763,266.5952380952381
seasonal_24h,raw_baseline,7,2018-10-27 00:00:00,120170.17857142857,197.85714285714286
seasonal_24h,raw_baseline,8,2018-11-03 00:00:00,709155.125,653.3511904761905
seasonal_24h,raw_baseline,9,2018-11-10 00:00:00,158881.16666666666,236.9404761904762
seasonal_24h,raw_baseline,10,2018-11-17 00:00:00,60247.98809523809,138.39285714285714
seasonal_24h,raw_baseline,11,2018-11-24 00:00:00,85455.82738095238,167.55357142857142
seasonal_24h,direct__persistence_1h,0,2018-09-08 00:00:00,189403.24404761905,320.1011904761905
seasonal_24h,direct__persistence_1h,1,2018-09-15 00:00:00,77935.125,162.875
seasonal_24h,direct__persistence_1h,2,2018-09-22 00:00:00,59688.125,163.74404761904762
seasonal_24h,direct__persistence_1h,3,2018-09-29 00:00:00,85980.04761904762,150.6904761904762
seasonal_24h,direct__persistence_1h,4,2018-10-06 00:00:00,117378.95238095238,226.72619047619048
seasonal_24h,direct__persistence_1h,5,2018-10-13 00:00:00,137072.84523809524,268.20238095238096
seasonal_24h,direct__persistence_1h,6,2018-10-20 00:00:00,114223.58928571429,252.45833333333334
seasonal_24h,direct__persistence_1h,7,2018-10-27 00:00:00,106054.33333333333,219.8095238095238
seasonal_24h,direct__persistence_1h,8,2018-11-03 00:00:00,47729.875,106.95833333333333
seasonal_24h,direct__persistence_1h,9,2018-11-10 00:00:00,95446.00595238095,210.01785714285714
seasonal_24h,direct__persistence_1h,10,2018-11-17 00:00:00,82140.86309523809,188.14880952380952
seasonal_24h,direct__persistence_1h,11,2018-11-24 00:00:00,66654.94047619047,161.46428571428572
seasonal_24h,convex__persistence_1h,0,2018-09-08 00:00:00,113859.84537301594,238.93357654377255
seasonal_24h,convex__persistence_1h,1,2018-09-15 00:00:00,144908.85151539877,302.33665407041116
seasonal_24h,convex__persistence_1h,2,2018-09-22 00:00:00,85915.05168591326,215.08204408294765
seasonal_24h,convex__persistence_1h,3,2018-09-29 00:00:00,186196.6057948621,373.0875848914663
seasonal_24h,convex__persistence_1h,4,2018-10-06 00:00:00,128595.91869131292,283.80804051548847
seasonal_24h,convex__persistence_1h,5,2018-10-13 00:00:00,82456.530035388,210.4171154027567
seasonal_24h,convex__persistence_1h,6,2018-10-20 00:00:00,80447.45221908392,211.7929116176541
seasonal_24h,convex__persistence_1h,7,2018-10-27 00:00:00,66615.05019689452,188.09696711587955
seasonal_24h,convex__persistence_1h,8,2018-11-03 00:00:00,115183.20627011413,294.424965984549
seasonal_24h,convex__persistence_1h,9,2018-11-10 00:00:00,61838.649215205085,184.49348102562246
seasonal_24h,convex__persistence_1h,10,2018-11-17 00:00:00,51298.81745755118,163.12634407387105
