baseline,candidate,guard,gate,t_frozen,alpha_frozen,mse_baseline_select,mse_direct_select,mse_augment_select,mse_convex_select,mse_baseline_confirm,theta_confirm,v_confirm,mse_direct_confirm,mse_convex_confirm,mse_augment_confirm,mse_gated_confirm,frozen_augmentation_gain_confirm,quadratic_identity,candidate_level_missed_gain,candidate_level_avoided_harm,realized_gain_disposition
seasonal_24h,persistence_1h,False,False,0.64311261123192087,0.63847381374017598,161641.01641036704,102706.60491071429,72037.035782508188,74893.413683143139,333914.33818532265,304346.67304606416,368735.38853464543,98308.99553571429,97085.827724754316,94962.65280863292,333914.33818532265,238951.68537668971,238951.68537668971,238951.68537668971,0,blocked_beneficial
seasonal_24h,seasonal_24h,True,False,0,0.29462575868782059,161641.01641036704,184055.39508928571,161641.01641036704,156904.13878794908,333914.33818532265,-7.7388746856922981e-11,4.7965602971258985e-25,423441.35317460319,312931.77508132666,333914.33818532265,333914.33818532265,0,-0,0,-0,guard_zero_augmentation
seasonal_24h,seasonal_168h,False,False,0.32794769671770213,0.34542775142153748,161641.01641036704,228597.64955357142,138341.6521957517,135797.801560869,333914.33818532265,104894.08016663343,348588.18275741878,458293.7609126984,294775.29276632832,302605.34581994702,333914.33818532265,31308.992365375627,31308.992365375547,31308.992365375627,0,blocked_beneficial
seasonal_24h,ridge_lags_calendar,False,False,1.0015647789609745,1,161641.01641036704,38771.708568308866,39220.608996398769,38771.708568308866,333914.33818532265,270174.75361176452,265415.01625153725,59688.913466810896,59688.913466810896,58965.601217047086,333914.33818532265,274948.73696827557,274948.73696827568,274948.73696827557,0,blocked_beneficial
seasonal_24h,hist_gradient_boosting,False,False,1.0505457341529274,1,161641.01641036704,32179.826614384107,30215.213417151401,32179.826614384107,333914.33818532265,275813.28666307306,253450.2320375508,40231.105598244489,40231.105598244489,34124.815577701549,333914.33818532265,299789.5226076211,299789.5226076211,299789.5226076211,0,blocked_beneficial
seasonal_24h,mirror_ridge_control,False,False,0,0,161641.01641036704,641169.77047094493,161641.01641036704,161641.01641036704,333914.33818532265,-270174.7536117644,265415.01625153713,1479136.5892862631,333914.33818532265,333914.33818532265,333914.33818532265,0,-0,0,-0,blocked_zero_coefficient
seasonal_24h,exact_baseline_copy,True,False,0,0.29462575868782059,161641.01641036704,184055.39508928571,161641.01641036704,156904.13878794908,333914.33818532265,-7.7388746856922981e-11,4.7965602971258985e-25,423441.35317460319,312931.77508132666,333914.33818532265,333914.33818532265,0,-0,0,-0,guard_zero_augmentation
seasonal_24h,noise_control,False,False,0,0.24798527300952911,161641.01641036704,194674.80948758172,161641.01641036704,157610.55925688922,333914.33818532265,-1837.2417767459128,10454.10105417408,436601.78448608756,314819.2356002485,333914.33818532265,333914.33818532265,0,-0,0,-0,blocked_zero_coefficient
ridge_lags_calendar,persistence_1h,False,False,0,0,38297.168552391217,102706.60491071429,38297.168552391217,38297.168552391217,53554.470387426954,3325.3733059629762,50234.977894575692,98308.99553571429,53554.470387426954,53554.470387426954,53554.470387426954,0,0,0,-0,blocked_zero_coefficient
ridge_lags_calendar,seasonal_24h,False,False,0.031261269327847799,0.041041256614070751,38297.168552391217,184055.39508928571,38144.944300066294,38029.701229133214,53554.470387426954,-13172.539766740194,297443.959857821,423441.35317460319,55147.67567753348,54668.733168603772,53554.470387426954,-1114.262781176818,-1114.2627811768173,0,1114.262781176818,blocked_harmful
ridge_lags_calendar,seasonal_168h,False,False,0,0.0015997657933060211,38297.168552391217,228597.64955357142,38297.168552391217,38296.679962513539,53554.470387426954,-23492.001510655093,311715.71760169667,458293.7609126984,53629.451934016681,53554.470387426954,53554.470387426954,0,-0,0,-0,blocked_zero_coefficient
ridge_lags_calendar,ridge_lags_calendar,True,False,0,0.27818180336570325,38297.168552391217,38771.708568308866,38297.168552391217,38214.392804944531,53554.470387426954,-1.3777667926766538e-11,1.4373788975401977e-24,59688.913466810896,53982.539511754367,53554.470387426954,53554.470387426954,0,-0,0,-0,guard_zero_augmentation
ridge_lags_calendar,hist_gradient_boosting,False,True,0.78698873152423676,0.59243663856628759,38297.168552391217,32179.826614384107,24488.355171690153,26683.419565129949,53554.470387426954,24468.231375660314,25964.281286031186,40231.105598244489,36746.757232208314,31123.036063052539,31123.036063052539,22431.434324374415,22431.434324374404,0,0,retained_beneficial
ridge_lags_calendar,mirror_ridge_control,True,False,0,0.27818180336570325,38297.168552391217,38771.708568308866,38297.168552391217,38214.392804944531,53554.470387426954,-1.3777667926766538e-11,1.4373788975401977e-24,59688.913466810896,53982.539511754367,53554.470387426954,53554.470387426954,0,-0,0,-0,guard_zero_augmentation
ridge_lags_calendar,exact_baseline_copy,True,False,0,0.27818180336570325,38297.168552391217,38771.708568308866,38297.168552391217,38214.392804944531,53554.470387426954,-1.3777667926766538e-11,1.4373788975401977e-24,59688.913466810896,53982.539511754367,53554.470387426954,53554.470387426954,0,-0,0,-0,guard_zero_augmentation
ridge_lags_calendar,noise_control,False,False,0.033943473030185967,0.063423773638714806,38297.168552391217,47520.938126261448,38285.988679640242,38254.675050420177,53554.470387426954,-206.94210192611212,10510.531453634403,70610.010094369311,53624.860403859915,53580.628861945108,53554.470387426954,-26.158474518153525,-26.158474518156574,0,26.158474518153525,blocked_harmful
