rule,baseline,candidate,adjusted_or_nominal_p,eligible,resulting_choice,status
original_full16_BY,seasonal_24h,persistence_1h,0.10940386956247669,False,baseline,original
original_full16_BY,seasonal_24h,seasonal_24h,1,False,baseline,original
original_full16_BY,seasonal_24h,seasonal_168h,0.14985566492569996,False,baseline,original
original_full16_BY,seasonal_24h,ridge_lags_calendar,0.10940386956247669,False,baseline,original
original_full16_BY,seasonal_24h,hist_gradient_boosting,0.10940386956247669,False,baseline,original
original_full16_BY,seasonal_24h,mirror_ridge_control,1,False,baseline,original
original_full16_BY,seasonal_24h,exact_baseline_copy,1,False,baseline,original
original_full16_BY,seasonal_24h,noise_control,1,False,baseline,original
original_full16_BY,ridge_lags_calendar,persistence_1h,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,seasonal_24h,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,seasonal_168h,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,hist_gradient_boosting,0.0018657217486585628,True,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,original
original_full16_BY,ridge_lags_calendar,noise_control,1,False,hist_gradient_boosting,original
nominal_p05_without_family_adjustment,seasonal_24h,persistence_1h,0.0080902572922580771,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,seasonal_24h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,seasonal_168h,0.013852011025750153,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,ridge_lags_calendar,0.0065754181251141443,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,hist_gradient_boosting,0.0066773834802304737,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,mirror_ridge_control,0.9934245818748858,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,seasonal_24h,noise_control,0.5617780824834574,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,persistence_1h,0.96808702042611894,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,seasonal_24h,0.13155243085788002,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,seasonal_168h,0.53250748845911189,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,hist_gradient_boosting,3.4491853539489479e-05,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
nominal_p05_without_family_adjustment,ridge_lags_calendar,noise_control,0.19606978179886761,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,seasonal_24h,persistence_1h,0.032361029169032308,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,seasonal_24h,seasonal_24h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,seasonal_24h,seasonal_168h,0.044326435282400489,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
