baseline,candidate,week,start,end,residual_product_mean,residual_second_moment,frozen_augmentation_gain
seasonal_24h,persistence_1h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,329316.44557937712,405659.44717744022,255796.87374821372
seasonal_24h,persistence_1h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,60242.414281468802,169459.2957823631,7397.993416261269
seasonal_24h,persistence_1h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,53806.297203362956,144866.54592319511,9291.1069179995047
seasonal_24h,persistence_1h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,56538.568521187859,125547.81061240158,20795.532943564289
seasonal_24h,persistence_1h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,42736.245798431162,117796.99801269284,6248.3256033181178
seasonal_24h,persistence_1h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,107553.20240376783,173617.73214407352,66530.418769136828
seasonal_24h,persistence_1h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,146998.56152246433,229369.06393507283,94207.627693258386
seasonal_24h,persistence_1h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,317437.07541989308,366861.3885099109,256563.96593111873
seasonal_24h,seasonal_24h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,2.9207499029347379e-11,5.3637079632380272e-25,0
seasonal_24h,seasonal_24h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-6.9383612910281453e-11,3.6193479264732174e-25,0
seasonal_24h,seasonal_24h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,-5.0621208177995194e-11,3.4474994616954714e-25,0
seasonal_24h,seasonal_24h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,-4.6349341041604026e-11,3.8211039864081426e-25,0
seasonal_24h,seasonal_24h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,-5.8238750759493121e-11,3.9356375742930307e-25,0
seasonal_24h,seasonal_24h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-3.0444660470886873e-11,3.9528512705410536e-25,0
seasonal_24h,seasonal_24h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-4.5342321510627979e-11,3.8971291413806421e-25,0
seasonal_24h,seasonal_24h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-2.6608319932245657e-11,6.1894590095715743e-25,0
seasonal_24h,seasonal_168h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,269114.63729783153,686046.65919053578,102726.94416536848
seasonal_24h,seasonal_168h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-4006.7069964072543,246548.72081790137,-29144.219595110531
seasonal_24h,seasonal_168h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,72975.920560961094,111626.09233150088,35859.218302510621
seasonal_24h,seasonal_168h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,60684.983529309764,86939.193251105855,30452.717709606713
seasonal_24h,seasonal_168h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,50136.36483435399,70171.759248011847,25337.259659493913
seasonal_24h,seasonal_168h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,66117.735991248614,64444.69599442459,36435.311269824408
seasonal_24h,seasonal_168h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,29153.200954863281,191082.1912649014,-1429.3805654630746
seasonal_24h,seasonal_168h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,24191.672421938929,276245.73569633358,-13842.937229307634
seasonal_24h,ridge_lags_calendar,1,2018-07-07 00:00:00,2018-07-13 23:00:00,299487.27709734841,300644.18919517717,298326.00823882117
seasonal_24h,ridge_lags_calendar,2,2018-07-14 00:00:00,2018-07-20 23:00:00,48816.467080768103,54849.521725202801,42764.397341502598
seasonal_24h,ridge_lags_calendar,3,2018-07-21 00:00:00,2018-07-27 23:00:00,55116.094938336872,63573.636599497906,46631.929248510285
seasonal_24h,ridge_lags_calendar,4,2018-07-28 00:00:00,2018-08-03 23:00:00,53440.476287214427,57897.685371121537,48969.17634490435
seasonal_24h,ridge_lags_calendar,5,2018-08-04 00:00:00,2018-08-10 23:00:00,41129.322979213946,48153.968623672394,34082.57539273928
seasonal_24h,ridge_lags_calendar,6,2018-08-11 00:00:00,2018-08-17 23:00:00,96099.75396646501,100067.53457956805,92119.310935431364
seasonal_24h,ridge_lags_calendar,7,2018-08-18 00:00:00,2018-08-24 23:00:00,122415.29962496643,119922.69092489568,124915.41545365108
seasonal_24h,ridge_lags_calendar,8,2018-08-25 00:00:00,2018-08-31 23:00:00,261328.47457107954,231196.23727624313,291554.44635618612
seasonal_24h,hist_gradient_boosting,1,2018-07-07 00:00:00,2018-07-13 23:00:00,286986.58105465875,262240.37524801219,313564.42674833268
seasonal_24h,hist_gradient_boosting,2,2018-07-14 00:00:00,2018-07-20 23:00:00,45290.455853659769,45552.050843113779,44886.03621795011
seasonal_24h,hist_gradient_boosting,3,2018-07-21 00:00:00,2018-07-27 23:00:00,54679.334001583004,58864.468474577356,49920.727002030326
seasonal_24h,hist_gradient_boosting,4,2018-07-28 00:00:00,2018-08-03 23:00:00,55973.357075352731,60832.333785383053,50467.760495126749
seasonal_24h,hist_gradient_boosting,5,2018-08-04 00:00:00,2018-08-10 23:00:00,49581.412679178808,56824.375636368699,41461.068998657203
seasonal_24h,hist_gradient_boosting,6,2018-08-11 00:00:00,2018-08-17 23:00:00,93603.820219015499,82319.791305101011,105818.25171686798
seasonal_24h,hist_gradient_boosting,7,2018-08-18 00:00:00,2018-08-24 23:00:00,125755.27068944754,120404.55267103588,131339.28251991927
seasonal_24h,hist_gradient_boosting,8,2018-08-25 00:00:00,2018-08-31 23:00:00,288949.04717415606,265628.12473626016,313948.87024684093
seasonal_24h,mirror_ridge_control,1,2018-07-07 00:00:00,2018-07-13 23:00:00,-299487.27709734841,300644.18919517729,0
seasonal_24h,mirror_ridge_control,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-48816.467080767965,54849.521725202576,0
seasonal_24h,mirror_ridge_control,3,2018-07-21 00:00:00,2018-07-27 23:00:00,-55116.094938336792,63573.636599497782,0
seasonal_24h,mirror_ridge_control,4,2018-07-28 00:00:00,2018-08-03 23:00:00,-53440.476287214376,57897.68537112145,0
seasonal_24h,mirror_ridge_control,5,2018-08-04 00:00:00,2018-08-10 23:00:00,-41129.322979213866,48153.968623672299,0
seasonal_24h,mirror_ridge_control,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-96099.753966464967,100067.53457956796,0
seasonal_24h,mirror_ridge_control,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-122415.29962496637,119922.69092489558,0
seasonal_24h,mirror_ridge_control,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-261328.47457107954,231196.23727624319,0
seasonal_24h,exact_baseline_copy,1,2018-07-07 00:00:00,2018-07-13 23:00:00,2.9207499029347379e-11,5.3637079632380272e-25,0
seasonal_24h,exact_baseline_copy,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-6.9383612910281453e-11,3.6193479264732174e-25,0
seasonal_24h,exact_baseline_copy,3,2018-07-21 00:00:00,2018-07-27 23:00:00,-5.0621208177995194e-11,3.4474994616954714e-25,0
seasonal_24h,exact_baseline_copy,4,2018-07-28 00:00:00,2018-08-03 23:00:00,-4.6349341041604026e-11,3.8211039864081426e-25,0
seasonal_24h,exact_baseline_copy,5,2018-08-04 00:00:00,2018-08-10 23:00:00,-5.8238750759493121e-11,3.9356375742930307e-25,0
seasonal_24h,exact_baseline_copy,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-3.0444660470886873e-11,3.9528512705410536e-25,0
seasonal_24h,exact_baseline_copy,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-4.5342321510627979e-11,3.8971291413806421e-25,0
seasonal_24h,exact_baseline_copy,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-2.6608319932245657e-11,6.1894590095715743e-25,0
seasonal_24h,noise_control,1,2018-07-07 00:00:00,2018-07-13 23:00:00,-62.14784768841006,10115.448510480022,0
seasonal_24h,noise_control,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-126.89777003853933,9512.978471928418,0
seasonal_24h,noise_control,3,2018-07-21 00:00:00,2018-07-27 23:00:00,-1192.9658727180649,11301.071254214496,0
seasonal_24h,noise_control,4,2018-07-28 00:00:00,2018-08-03 23:00:00,1062.1989594676447,8868.3245662325498,0
seasonal_24h,noise_control,5,2018-08-04 00:00:00,2018-08-10 23:00:00,1506.6979680110808,9471.5470442897949,0
seasonal_24h,noise_control,6,2018-08-11 00:00:00,2018-08-17 23:00:00,2630.0005498254509,10598.815627763648,0
seasonal_24h,noise_control,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-3084.3399062197609,8595.8716948027104,0
seasonal_24h,noise_control,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-1595.6095475110812,8902.2208241570406,0
ridge_lags_calendar,persistence_1h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,-681.63016697741807,54105.947505854136,0
ridge_lags_calendar,persistence_1h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-11404.608194743501,77113.890012721735,0
ridge_lags_calendar,persistence_1h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,-13529.400110373457,59986.936784302925,0
ridge_lags_calendar,persistence_1h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,-7258.9547445395274,48437.379627845265,0
ridge_lags_calendar,persistence_1h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,-12986.058501287713,43616.726972841832,0
ridge_lags_calendar,persistence_1h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-4233.8223670426241,40745.95293239256,0
ridge_lags_calendar,persistence_1h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-4522.0012535583974,55798.954938192117,0
ridge_lags_calendar,persistence_1h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,7652.3111542424995,41833.883526937323,0
ridge_lags_calendar,seasonal_24h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,18499.709705919067,379101.0521884539,786.16588240691976
ridge_lags_calendar,seasonal_24h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,10930.343547536948,92038.719972566163,593.44642690211344
ridge_lags_calendar,seasonal_24h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,6208.225673924464,83063.011612087532,306.97929283561172
ridge_lags_calendar,seasonal_24h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,4505.2460563980439,72162.542851257138,211.15735183729785
ridge_lags_calendar,seasonal_24h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,11716.595507354312,66024.046048596618,668.02817675367396
ridge_lags_calendar,seasonal_24h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,3109.4263555809325,107078.50859846569,89.764940935750616
ridge_lags_calendar,seasonal_24h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-1894.8294117915252,147597.50045765418,-262.7117057187989
ridge_lags_calendar,seasonal_24h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-14119.356863093641,299056.78187503188,-1175.0363473532107
ridge_lags_calendar,seasonal_168h,1,2018-07-07 00:00:00,2018-07-13 23:00:00,-16183.213550087679,354188.09095258702,0
ridge_lags_calendar,seasonal_168h,2,2018-07-14 00:00:00,2018-07-20 23:00:00,-12514.494771288364,271646.6057849435,0
ridge_lags_calendar,seasonal_168h,3,2018-07-21 00:00:00,2018-07-27 23:00:00,17202.249748137594,87430.62243776668,0
ridge_lags_calendar,seasonal_168h,4,2018-07-28 00:00:00,2018-08-03 23:00:00,16795.476454984568,69723.814919420984,0
ridge_lags_calendar,seasonal_168h,5,2018-08-04 00:00:00,2018-08-10 23:00:00,17309.072989098346,51033.033651292943,0
ridge_lags_calendar,seasonal_168h,6,2018-08-11 00:00:00,2018-08-17 23:00:00,18340.254690015186,68114.881979394864,0
ridge_lags_calendar,seasonal_168h,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-2590.9689947105639,192634.40008460637,0
ridge_lags_calendar,seasonal_168h,8,2018-08-25 00:00:00,2018-08-31 23:00:00,-44493.930302889952,331199.97263181629,0
ridge_lags_calendar,ridge_lags_calendar,1,2018-07-07 00:00:00,2018-07-13 23:00:00,7.4807372747963467e-12,1.1316707043413753e-24,0
ridge_lags_calendar,ridge_lags_calendar,2,2018-07-14 00:00:00,2018-07-20 23:00:00,6.8254063989564319e-13,9.9993784509358829e-25,0
ridge_lags_calendar,ridge_lags_calendar,3,2018-07-21 00:00:00,2018-07-27 23:00:00,1.0039336905059139e-11,1.079067956589038e-24,0
ridge_lags_calendar,ridge_lags_calendar,4,2018-07-28 00:00:00,2018-08-03 23:00:00,1.6268000949447738e-11,1.2290098291584064e-24,0
ridge_lags_calendar,ridge_lags_calendar,5,2018-08-04 00:00:00,2018-08-10 23:00:00,5.7662960693433277e-12,1.2052953180144824e-24,0
ridge_lags_calendar,ridge_lags_calendar,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-9.4312480311349376e-12,1.1827732640408126e-24,0
ridge_lags_calendar,ridge_lags_calendar,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-1.5398924357591958e-12,1.1944009235245502e-24,0
ridge_lags_calendar,ridge_lags_calendar,8,2018-08-25 00:00:00,2018-08-31 23:00:00,3.5530229239726036e-11,1.3964526936045181e-24,0
ridge_lags_calendar,hist_gradient_boosting,1,2018-07-07 00:00:00,2018-07-13 23:00:00,22753.632989582184,27405.696084369003,18839.953029863525
ridge_lags_calendar,hist_gradient_boosting,2,2018-07-14 00:00:00,2018-07-20 23:00:00,15042.225309777861,20091.758346356452,11232.267713008379
ridge_lags_calendar,hist_gradient_boosting,3,2018-07-21 00:00:00,2018-07-27 23:00:00,12916.691197799588,17718.050173363426,9356.8840800468242
ridge_lags_calendar,hist_gradient_boosting,4,2018-07-28 00:00:00,2018-08-03 23:00:00,12134.295798297655,19586.926691198809,6967.9203213049486
ridge_lags_calendar,hist_gradient_boosting,5,2018-08-04 00:00:00,2018-08-10 23:00:00,11974.761133591799,17213.488313227193,8186.80841282853
ridge_lags_calendar,hist_gradient_boosting,6,2018-08-11 00:00:00,2018-08-17 23:00:00,22030.881021874353,22760.424836692033,20579.412338080692
ridge_lags_calendar,hist_gradient_boosting,7,2018-08-18 00:00:00,2018-08-24 23:00:00,15541.903389933657,20814.106422851568,11571.36255605557
ridge_lags_calendar,hist_gradient_boosting,8,2018-08-25 00:00:00,2018-08-31 23:00:00,27976.751235916574,32774.418225941619,23735.898594420047
ridge_lags_calendar,mirror_ridge_control,1,2018-07-07 00:00:00,2018-07-13 23:00:00,7.4807372747963467e-12,1.1316707043413753e-24,0
ridge_lags_calendar,mirror_ridge_control,2,2018-07-14 00:00:00,2018-07-20 23:00:00,6.8254063989564319e-13,9.9993784509358829e-25,0
ridge_lags_calendar,mirror_ridge_control,3,2018-07-21 00:00:00,2018-07-27 23:00:00,1.0039336905059139e-11,1.079067956589038e-24,0
ridge_lags_calendar,mirror_ridge_control,4,2018-07-28 00:00:00,2018-08-03 23:00:00,1.6268000949447738e-11,1.2290098291584064e-24,0
ridge_lags_calendar,mirror_ridge_control,5,2018-08-04 00:00:00,2018-08-10 23:00:00,5.7662960693433277e-12,1.2052953180144824e-24,0
ridge_lags_calendar,mirror_ridge_control,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-9.4312480311349376e-12,1.1827732640408126e-24,0
ridge_lags_calendar,mirror_ridge_control,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-1.5398924357591958e-12,1.1944009235245502e-24,0
ridge_lags_calendar,mirror_ridge_control,8,2018-08-25 00:00:00,2018-08-31 23:00:00,3.5530229239726036e-11,1.3964526936045181e-24,0
ridge_lags_calendar,exact_baseline_copy,1,2018-07-07 00:00:00,2018-07-13 23:00:00,7.4807372747963467e-12,1.1316707043413753e-24,0
ridge_lags_calendar,exact_baseline_copy,2,2018-07-14 00:00:00,2018-07-20 23:00:00,6.8254063989564319e-13,9.9993784509358829e-25,0
ridge_lags_calendar,exact_baseline_copy,3,2018-07-21 00:00:00,2018-07-27 23:00:00,1.0039336905059139e-11,1.079067956589038e-24,0
ridge_lags_calendar,exact_baseline_copy,4,2018-07-28 00:00:00,2018-08-03 23:00:00,1.6268000949447738e-11,1.2290098291584064e-24,0
ridge_lags_calendar,exact_baseline_copy,5,2018-08-04 00:00:00,2018-08-10 23:00:00,5.7662960693433277e-12,1.2052953180144824e-24,0
ridge_lags_calendar,exact_baseline_copy,6,2018-08-11 00:00:00,2018-08-17 23:00:00,-9.4312480311349376e-12,1.1827732640408126e-24,0
ridge_lags_calendar,exact_baseline_copy,7,2018-08-18 00:00:00,2018-08-24 23:00:00,-1.5398924357591958e-12,1.1944009235245502e-24,0
ridge_lags_calendar,exact_baseline_copy,8,2018-08-25 00:00:00,2018-08-31 23:00:00,3.5530229239726036e-11,1.3964526936045181e-24,0
