replication,seed,condition,clusters,reject,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2
0,202609058430000,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.0005481815291484594,0.0006853092594450352,0.799903870542152,0.2118832475460925,computed,0.9730948494765203
1,202609058430001,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.0004002578365586809,0.0007443018412864957,0.537762792399991,0.29537041119166274,computed,0.9717588215911367
2,202609058430002,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.000197898551073878,0.000616301300002579,0.3211068207596672,0.3740647207917973,computed,0.9721465484460625
3,202609058430003,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,-0.0010782102889053144,0.0008304727378573595,-1.2983090711528038,0.9029094247338141,computed,0.973563111310194
4,202609058430004,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,-0.0011125027834464434,0.0006277231375288974,-1.7722825827735704,0.9618261695149285,computed,0.9715976493783035
5,202609058430005,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,4.244460959857491e-05,0.0004705194284538094,0.09020798511562773,0.46406096949789843,computed,0.9712227168363209
6,202609058430006,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.00010038729554481823,0.0005688085891436412,0.17648695441810117,0.4299556983438378,computed,0.9732286394139122
7,202609058430007,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,-0.0014164723358384723,0.000663831365869224,-2.1337833803374697,0.9835697415161597,computed,0.97392538283505
8,202609058430008,high_overlap_conditional_null,25,True,contiguous,0,2000,25,0,0.0012187586125200957,0.00044536719858786296,2.7365253130101284,0.003104590886614516,computed,0.9728943757754938
9,202609058430009,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,1.808684106581232e-05,0.0007046529246163031,0.02566773007528628,0.4897611815208826,computed,0.973755938558485
10,202609058430010,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,-0.0011966653180907488,0.0007988400638503964,-1.4980036333215951,0.9329338467619637,computed,0.9712666810622649
11,202609058430011,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.00044349989832999083,0.0006182922657002761,0.7172981499739189,0.2365950742591874,computed,0.9708136648556923
12,202609058430012,high_overlap_conditional_null,25,False,contiguous,0,2000,25,0,0.00020337720670068565,0.0006810171472909043,0.2986374241966197,0.3826083536871444,computed,0.9745111504461805
