model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain,policy_decision_role,final_decision
dlinear,contiguous,14,34992,729,0,0.0164247786831488,0.0018743633107999,8.7628575466187,9.518107961504668e-19,computed,,9.518107961504668e-19,8.7628575466187,True,False,no_exact_sample_redundancy_detected,False,False,9.518107961504668e-19,True,NOMINAL_POSITIVE,True,5.269645076491516e-18,True,5.269645076491516e-18,11,extrapolated_beta_2,2.0,0.0287640232560091,0.0211418008637183,0.0191161215869045,0.0184818463283029,0.0171333559021347,True,5.269645076491516e-18,electricity,intermediate_nominal_screen,RETAIN
drift,contiguous,14,34992,729,0,0.0187449257956397,0.0020676210490287,9.065938753353752,6.176792029004888e-20,computed,,6.176792029004888e-20,9.065938753353752,True,False,no_exact_sample_redundancy_detected,False,False,6.176792029004888e-20,True,NOMINAL_POSITIVE,True,5.148667944931997e-19,True,5.148667944931997e-19,11,extrapolated_beta_2,2.0,0.0309492697191289,0.0232868246393844,0.0212552202334388,0.0210738898469485,0.0193277763437008,True,5.148667944931997e-19,electricity,intermediate_nominal_screen,RETAIN
histgbr_lag,contiguous,14,34992,729,0,0.0129350272329243,0.0017268800395335,7.490402886594411,3.433125755868872e-14,computed,,3.433125755868872e-14,7.490402886594411,True,False,no_exact_sample_redundancy_detected,False,False,3.433125755868872e-14,True,NOMINAL_POSITIVE,True,1.1404380561489648e-13,True,1.1404380561489648e-13,11,extrapolated_beta_2,2.0,0.0253373855849688,0.017636257528222,0.0156415096137026,0.0149971319731222,0.013666680716428,True,1.1404380561489648e-13,electricity,intermediate_nominal_screen,RETAIN
holt_winters,contiguous,14,34992,729,0,0.0123649276247831,0.0013707922947153,9.020278033697927,9.380626697417548e-20,computed,,9.380626697417548e-20,9.020278033697927,True,False,no_exact_sample_redundancy_detected,False,False,9.380626697417548e-20,True,NOMINAL_POSITIVE,True,6.232235249742225e-19,True,6.232235249742225e-19,11,extrapolated_beta_2,2.0,0.0228454262324597,0.0166558851275415,0.0149037417703904,0.0136289161423014,0.0131262004062516,True,6.232235249742225e-19,electricity,intermediate_nominal_screen,RETAIN
lasso_lag,contiguous,14,34992,729,0,0.0141810851732731,0.0016980076230683,8.351602772929603,3.367140629068412e-17,computed,,3.367140629068412e-17,8.351602772929603,True,False,no_exact_sample_redundancy_detected,False,False,3.367140629068412e-17,True,NOMINAL_POSITIVE,True,1.2427985414459695e-16,True,1.2427985414459695e-16,11,extrapolated_beta_2,2.0,0.0263179491384883,0.0187780889926486,0.0167611005412516,0.0163452743622681,0.01481151001458,True,1.242798541445969e-16,electricity,intermediate_nominal_screen,RETAIN
linear_lag,contiguous,14,34992,729,0,0.0141617796943998,0.0016947525003336,8.356252427190105,3.2371048414215265e-17,computed,,3.2371048414215265e-17,8.356252427190105,True,False,no_exact_sample_redundancy_detected,False,False,3.2371048414215265e-17,True,NOMINAL_POSITIVE,True,1.2427985414459695e-16,True,1.2427985414459695e-16,11,extrapolated_beta_2,2.0,0.0262957565692787,0.0187593857575539,0.0167395248786835,0.0163265476711667,0.0147915503932407,True,1.242798541445969e-16,electricity,intermediate_nominal_screen,RETAIN
naive_1,contiguous,14,34992,729,0,0.0187727417666427,0.002070781533497,9.065534660694247,6.199731562747374e-20,computed,,6.199731562747374e-20,9.065534660694247,True,False,no_exact_sample_redundancy_detected,False,False,6.199731562747374e-20,True,NOMINAL_POSITIVE,True,5.148667944931997e-19,True,5.148667944931997e-19,11,extrapolated_beta_2,2.0,0.0309892322402451,0.0233162867286379,0.0212866799447396,0.0211026345095955,0.0193577591350032,True,5.148667944931997e-19,electricity,intermediate_nominal_screen,RETAIN
ridge_lag,contiguous,14,34992,729,0,0.0150826345356267,0.0017677621808968,8.532049558823926,7.188871761435324e-18,computed,,7.188871761435324e-18,8.532049558823926,True,False,no_exact_sample_redundancy_detected,False,False,7.188871761435324e-18,True,NOMINAL_POSITIVE,True,3.411494580620819e-17,True,3.411494580620819e-17,11,extrapolated_beta_2,2.0,0.0272734286535294,0.0197775593241384,0.0177061072790572,0.0171467969611314,0.0157647787559197,True,3.411494580620819e-17,electricity,intermediate_nominal_screen,RETAIN
seasonal_naive_7,contiguous,14,34992,729,0,-0.0003815983174087,7.12542329929577e-05,-5.355447688931285,0.9999999573275818,computed,,0.9999999573275818,-5.355447688931285,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,11,extrapolated_beta_2,2.0,0.0123250536670267,0.0046776625503206,0.0025638403737729,0.0012391939995151,0.0006076063708007,False,1.0,electricity,intermediate_nominal_screen,ABSTAIN
ses,contiguous,14,34992,729,0,0.0106742471303749,0.0011328792614842,9.422228381504905,2.2080721806756268e-21,computed,,2.2080721806756268e-21,9.422228381504905,True,False,no_exact_sample_redundancy_detected,False,False,2.2080721806756268e-21,True,NOMINAL_POSITIVE,True,7.334917869703864e-20,True,7.334917869703864e-20,11,extrapolated_beta_2,2.0,0.0207337189041502,0.014636781146478,0.0129596002397062,0.0122825536385656,0.0112065258679125,True,7.334917869703865e-20,electricity,intermediate_nominal_screen,RETAIN
